5,404.637
6,129.327
7,96.9774
8,86.0403
9,25.5755
10,11.122
11,14.461
12,4.83702
13,5.21693
14,4.81179
15,4.91754
16,3.87961
17,2.82821
18,2.0882
19,3.64035
20,3.98268
21,5.25277
22,3.74427
23,2.88808
24,4.92364
25,4.08978
26,2.76519
27,3.70892
28,3.13874
29,3.73594
30,3.77776
2,2395.53
3,1590.59
4,344.11
5,312.417
6,117.434
7,27.9304
8,8.42058
9,15.8721
10,10.1309
11,5.16613
12,2.6555
13,2.85409
14,1.87449
15,1.88729
16,2.65504
17,1.73797
18,1.91266
19,4.26748
20,3.16642
21,7.58464
22,3.50366
23,7.00066
24,2.87659
25,1.86696
26,1.32879
27,2.30291
28,2.14972
29,2.15914
30,2.9475
2,9603.21
3,5950.96
4,3630.97
5,2583.71
6,1157.83
7,890.191
8,652.921
9,338.368
10,146.166
11,52.7756
12,41.9356
13,25.5532
14,23.5511
15,23.6988
16,19.6528
17,15.1587
18,12.6931
19,21.9304
20,16.0265
21,10.7035
22,11.68
23,11.5746
24,9.56896
25,10.2061
26,6.27398
27,8.33088
28,10.2679
29,19.737
30,19.51
2,5378.93
3,2330.57
4,598.699
5,678.681
6,400.669
7,248.742
8,153.4
9,114.157
10,93.2795
11,73.824
12,74.846
13,51.7002
14,34.6676
15,43.1456
16,33.6857
17,28.5132
18,23.1092
19,26.8762
20,25.7059
21,23.2255
22,20.2236
23,12.2654
24,11.5392
25,4.65546
26,4.51073
27,3.89795
28,3.94296
29,2.18027
30,3.2813
2,15595.9
3,4778.5
4,1505.3
5,777.866
6,442.556
7,354.47
8,105.428
9,87.9327
10,47.1829
11,41.856
12,49.3476
13,44.1295
14,46.7195
15,39.3596
16,46.5646
17,35.523
18,20.0382
19,25.3273
20,31.9628
21,20.5171
22,20.5171
23,13.6627
24,11.923
25,8.20676
26,10.9248
27,10.1903
28,10.8368
29,7.13679
30,6.62475
2,4955.07
3,2672.46
4,1559.34
5,1002.69
6,655.028
7,237.521
8,144.617
9,129.306
10,99.4184
11,89.0807
12,74.557
13,46.8528
14,54.2589
15,19.4685
16,16.3262
17,16.3262
18,12.7855
19,14.5314
20,8.55952
21,8.791
22,8.31228
23,9.75613
24,10.9837
25,7.94024
26,9.82721
27,9.91506
28,7.96541
29,6.04181
30,1.86858
2,17679.3
3,10728.6
4,2581.63
5,1812.96
6,698.902
7,144.233
8,144.018
9,104.919
10,101.733
11,58.9228
12,61.1824
13,38.6412
14,26.041
15,17.7955
16,22.475
17,6.35427
18,9.46885
19,6.36393
20,3.91282
21,4.37166
22,5.46116
23,2.83182
24,5.67907
25,3.08473
26,2.3453
27,0.32834
28,1.66748
29,1.9882
30,1.17727
2,403.359
3,526.606
4,332.332
5,151.135
6,62.8884
7,50.5714
8,48.9176
9,40.3992
10,29.6922
11,20.6394
12,15.5489
13,17.3227
14,12.0398
15,6.16537
16,1.04384
17,2.68214
18,2.50205
19,1.37378
20,0.795617
21,1.41253
22,1.80016
23,2.17886
24,1.37183
25,1.23029
26,4.08086
27,1.42411
28,1.43283
29,2.47318
30,2.32263
2,1036.93
3,853.21
4,345.595
5,126.22
6,79.533
7,52.1586
8,60.658
9,44.0188
10,20.718
11,9.99382
12,9.52036
13,8.45284
14,5.4054
15,5.15084
16,11.1184
17,4.80002
18,6.62251
19,3.67597
20,6.07874
21,6.16573
22,2.75572
23,4.77137
24,2.19914
25,1.21164
26,1.18256
27,4.67866
28,3.81472
29,3.35408
30,2.44922
